xflr5 v6.47
NACA0012
T1_Re0.100_M0.00_N9.0
Alpha =   2.5,  Re =   100000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.414     0.000     0.765     0.000
 0.9928    0.242     0.000     0.871     0.000
 0.9799    0.175     0.000     0.908     0.000
 0.9635    0.123     0.000     0.937     0.000
 0.9445    0.081     0.000     0.959     0.000
 0.9235    0.046     0.000     0.977     0.000
 0.9007    0.014     0.000     0.993     0.000
 0.8766   -0.014     0.000     1.007     0.000
 0.8512   -0.041     0.000     1.020     0.000
 0.8249   -0.066     0.000     1.032     0.000
 0.7977   -0.089     0.000     1.044     0.000
 0.7699   -0.112     0.000     1.055     0.000
 0.7415   -0.135     0.000     1.065     0.000
 0.7127   -0.157     0.000     1.075     0.000
 0.6836   -0.179     0.000     1.086     0.000
 0.6543   -0.201     0.000     1.096     0.000
 0.6249   -0.223     0.000     1.106     0.000
 0.5955   -0.245     0.000     1.116     0.000
 0.5661   -0.268     0.000     1.126     0.000
 0.5368   -0.291     0.000     1.136     0.000
 0.5077   -0.315     0.000     1.147     0.000
 0.4789   -0.339     0.000     1.157     0.000
 0.4505   -0.363     0.000     1.167     0.000
 0.4225   -0.388     0.000     1.178     0.000
 0.3949   -0.413     0.000     1.189     0.000
 0.3678   -0.439     0.000     1.200     0.000
 0.3413   -0.465     0.000     1.210     0.000
 0.3155   -0.492     0.000     1.221     0.000
 0.2904   -0.518     0.000     1.232     0.000
 0.2659   -0.546     0.000     1.243     0.000
 0.2423   -0.573     0.000     1.254     0.000
 0.2195   -0.601     0.000     1.265     0.000
 0.1976   -0.628     0.000     1.276     0.000
 0.1766   -0.657     0.000     1.287     0.000
 0.1566   -0.685     0.000     1.298     0.000
 0.1376   -0.714     0.000     1.309     0.000
 0.1197   -0.743     0.000     1.320     0.000
 0.1028   -0.774     0.000     1.332     0.000
 0.0871   -0.804     0.000     1.343     0.000
 0.0726   -0.836     0.000     1.355     0.000
 0.0592   -0.867     0.000     1.366     0.000
 0.0472   -0.898     0.000     1.378     0.000
 0.0364   -0.925     0.000     1.387     0.000
 0.0269   -0.944     0.000     1.394     0.000
 0.0188   -0.942     0.000     1.394     0.000
 0.0121   -0.897     0.000     1.377     0.000
 0.0069   -0.762     0.000     1.327     0.000
 0.0031   -0.462     0.000     1.209     0.000
 0.0008    0.058     0.000     0.970     0.000
 0.0000    0.647     0.000     0.594     0.000
 0.0008    0.971     0.000     0.169     0.000
 0.0031    0.961     0.000    -0.198     0.000
 0.0069    0.786     0.000    -0.463     0.000
 0.0121    0.589     0.000    -0.641     0.000
 0.0188    0.420     0.000    -0.762     0.000
 0.0269    0.286     0.000    -0.845     0.000
 0.0364    0.181     0.000    -0.905     0.000
 0.0472    0.099     0.000    -0.949     0.000
 0.0592    0.035     0.000    -0.982     0.000
 0.0726   -0.016     0.000    -1.008     0.000
 0.0871   -0.056     0.000    -1.028     0.000
 0.1028   -0.088     0.000    -1.043     0.000
 0.1197   -0.114     0.000    -1.055     0.000
 0.1376   -0.133     0.000    -1.065     0.000
 0.1566   -0.149     0.000    -1.072     0.000
 0.1766   -0.160     0.000    -1.077     0.000
 0.1976   -0.168     0.000    -1.081     0.000
 0.2195   -0.173     0.000    -1.083     0.000
 0.2423   -0.175     0.000    -1.084     0.000
 0.2659   -0.175     0.000    -1.084     0.000
 0.2904   -0.173     0.000    -1.083     0.000
 0.3155   -0.170     0.000    -1.082     0.000
 0.3413   -0.166     0.000    -1.080     0.000
 0.3678   -0.160     0.000    -1.077     0.000
 0.3949   -0.153     0.000    -1.074     0.000
 0.4225   -0.145     0.000    -1.070     0.000
 0.4505   -0.137     0.000    -1.066     0.000
 0.4789   -0.128     0.000    -1.062     0.000
 0.5077   -0.118     0.000    -1.057     0.000
 0.5368   -0.108     0.000    -1.053     0.000
 0.5661   -0.098     0.000    -1.048     0.000
 0.5955   -0.088     0.000    -1.043     0.000
 0.6249   -0.077     0.000    -1.038     0.000
 0.6543   -0.066     0.000    -1.032     0.000
 0.6836   -0.054     0.000    -1.027     0.000
 0.7127   -0.043     0.000    -1.021     0.000
 0.7415   -0.030     0.000    -1.015     0.000
 0.7699   -0.017     0.000    -1.009     0.000
 0.7977   -0.004     0.000    -1.002     0.000
 0.8249    0.011     0.000    -0.994     0.000
 0.8512    0.027     0.000    -0.986     0.000
 0.8766    0.045     0.000    -0.977     0.000
 0.9007    0.066     0.000    -0.967     0.000
 0.9235    0.089     0.000    -0.955     0.000
 0.9445    0.116     0.000    -0.940     0.000
 0.9635    0.150     0.000    -0.922     0.000
 0.9799    0.194     0.000    -0.898     0.000
 0.9928    0.253     0.000    -0.864     0.000
 1.0000    0.414     0.000    -0.765     0.000


